Sl. No,Food Item,Recipe,Approximate Calorie per Serving
1058,Rosh Grilled (Rajshahi),"To prepare Rosh Grilled (Rajshahi), begin by cleaning and cutting 500 grams of mutton or beef into medium-sized pieces and boiling them lightly with salt until just tender, then drain and set aside. Heat 3 tablespoons of mustard oil or ghee in a pan, add 1 finely sliced onion, and sauté until golden brown. Add 1 teaspoon of ginger paste and 1 teaspoon of garlic paste, cooking until aromatic. Reduce the heat and stir in ½ teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of coriander powder, ½ teaspoon of cumin powder, and salt to taste. Add the boiled meat and bhuna thoroughly so the spices coat it evenly. Pour in ½ cup of lightly sweetened milk, simmer until the mixture turns thick, glossy, and mildly sweet. Remove the meat pieces, brush lightly with ghee, and grill on a hot tawa or grill pan until slightly charred and fragrant. Serve hot as a rich, aromatic Rajshahi-style Rosh Grilled delicacy.",405
1059,Rosh Grilled (Rangpur),"To prepare Rosh Grilled (Rangpur), start by cleaning and cutting 500 grams of mutton or beef into medium-sized pieces and boiling them lightly with salt until just tender, then drain and set aside. Heat 3 tablespoons of mustard oil or ghee in a pan, add 1 finely sliced onion, and sauté until golden brown. Add 1 teaspoon of ginger paste and 1 teaspoon of garlic paste, cooking until aromatic. Reduce the heat and stir in ½ teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of coriander powder, ½ teaspoon of cumin powder, and salt to taste. Add the boiled meat and bhuna well until the spices coat it evenly and oil begins to separate. Pour in ½ cup of lightly sweetened milk, simmer until the mixture thickens and turns glossy. Remove the meat pieces, brush lightly with ghee, and grill on a hot tawa or grill pan until lightly charred and aromatic. Serve hot as a rich, mildly sweet, and smoky Rangpuri-style Rosh Grilled dish.",405
1060,Rosh Grilled (Sylhet),"To prepare Rosh Grilled (Sylhet), start by cleaning 500 grams of rohu fish (rosh) and cutting it into medium-sized pieces. Marinate the fish with ½ teaspoon turmeric powder, ½ teaspoon red chili powder, a pinch of salt, and 1 teaspoon mustard oil for 15–20 minutes. Preheat a grill pan or oven to medium-high heat. Lightly brush the fish pieces with mustard oil or ghee and place them on the grill. Cook for 5–7 minutes on each side, or until the fish is cooked through, slightly charred, and aromatic. Optionally, sprinkle a few crushed roasted spices like cumin or black pepper for extra flavor. Serve hot as a traditional Sylhet-style Rosh Grilled dish.",350
1061,Rosh Jhol (Barisal),"To prepare Rosh Jhol (Barisal), start by cleaning 500 grams of rohu fish (rosh) and cutting it into medium pieces. Marinate the fish with ½ teaspoon turmeric powder and a pinch of salt for 10–15 minutes. Heat 3 tablespoons of mustard oil in a pan, add 1 finely sliced onion, 1 teaspoon ginger paste, and 1 teaspoon garlic paste, and sauté until aromatic. Add ½ teaspoon turmeric powder, ½ teaspoon red chili powder, 1 teaspoon coriander powder, and salt to taste, stirring briefly. Pour in 2–2½ cups of water or fish stock and bring to a gentle boil. Add the marinated rohu pieces carefully and simmer on low heat for 8–10 minutes until the fish is cooked through and the gravy is flavorful. Finish with a drizzle of mustard oil and garnish with fresh coriander leaves. Serve hot as a traditional Barisal-style Rosh Jhol.",360
1062,Rosh Jhol (Chattogram),"To prepare Rosh Jhol (Chattogram), start by cleaning 500 grams of rohu fish (rosh) and cutting it into medium-sized pieces. Marinate the fish with ½ teaspoon turmeric powder and a pinch of salt for 10–15 minutes. Heat 3 tablespoons of mustard oil in a pan, add 1 finely sliced onion, 1 teaspoon ginger paste, and 1 teaspoon garlic paste, sautéing until aromatic. Add ½ teaspoon turmeric powder, ½ teaspoon red chili powder, 1 teaspoon coriander powder, and salt to taste, stirring briefly. Pour in 2–2½ cups of water or fish stock and bring to a gentle boil. Add the marinated rohu pieces carefully and simmer on low heat for 8–10 minutes until the fish is cooked and the gravy is flavorful. Finish with a drizzle of mustard oil and garnish with fresh coriander leaves. Serve hot as a traditional Chattogram-style Rosh Jhol.",360
1063,Rosh Jhol (Mymensingh),"To prepare Rosh Jhol (Mymensingh), start by cleaning 500 grams of rohu fish (rosh) and cutting it into medium-sized pieces. Marinate the fish with ½ teaspoon turmeric powder and a pinch of salt for 10–15 minutes. Heat 3 tablespoons of mustard oil or ghee in a pan, add 1 finely sliced onion, 1 teaspoon ginger paste, and 1 teaspoon garlic paste, and sauté until aromatic. Add ½ teaspoon turmeric powder, ½ teaspoon red chili powder, 1 teaspoon coriander powder, and salt to taste, stirring briefly. Pour in 2–2½ cups of water or fish stock and bring to a gentle boil. Add the marinated rohu pieces carefully and simmer on low heat for 8–10 minutes until the fish is cooked and the gravy is flavorful. Finish with a drizzle of mustard oil and garnish with fresh coriander leaves. Serve hot as a traditional Mymensingh-style Rosh Jhol.",360
1064,Rosh Jhol (Rangpur),"To prepare Rosh Jhol (Rangpur), start by cleaning 500 grams of rohu fish (rosh) and cutting it into medium pieces. Marinate the fish with ½ teaspoon turmeric powder and a pinch of salt for 10–15 minutes. Heat 3 tablespoons of mustard oil in a pan until hot, then add 1 finely sliced onion, 1 teaspoon ginger paste, and 1 teaspoon garlic paste, sautéing until fragrant. Add ½ teaspoon turmeric powder, ½ teaspoon red chili powder, 1 teaspoon coriander powder, and salt to taste. Pour in 2–2½ cups of water or light fish stock and bring to a gentle boil. Carefully add the marinated rohu pieces and simmer on low heat for 8–10 minutes until the fish is cooked through and the gravy is flavorful. Finish with a drizzle of mustard oil and garnish with fresh coriander leaves. Serve hot as a traditional Rangpur-style Rosh Jhol.",360
1065,Rosh Jhol (Sylhet),"To prepare Rosh Jhol (Sylhet), start by cleaning 500 grams of rohu fish (rosh) and cutting it into medium-sized pieces. Marinate the fish with ½ teaspoon turmeric powder and a pinch of salt for 10–15 minutes. Heat 3 tablespoons of mustard oil or ghee in a pan until hot, then add 1 finely sliced onion, 1 teaspoon ginger paste, and 1 teaspoon garlic paste, sautéing until aromatic. Add ½ teaspoon turmeric powder, ½ teaspoon red chili powder, 1 teaspoon coriander powder, and salt to taste. Pour in 2–2½ cups of water or light fish stock and bring to a gentle boil. Carefully add the marinated rohu pieces and simmer on low heat for 8–10 minutes until the fish is cooked and the gravy is flavorful. Finish with a drizzle of mustard oil and garnish with fresh coriander leaves. Serve hot as a traditional Sylhet-style Rosh Jhol.",360
1066,Rosh Khichuri (Dhaka),"To prepare Rosh Khichuri (Dhaka), start by washing 1 cup of rice and ½ cup of moong dal (split yellow lentils) thoroughly and soaking them for 15–20 minutes. Drain well. In a heavy-bottomed pan, heat 2 tablespoons of ghee or mustard oil, add 1 teaspoon cumin seeds, 2–3 slit green chilies, and 1 teaspoon ginger paste, sautéing until aromatic. Add the drained rice and dal, stirring gently to coat with the oil and spices. Dissolve 2–3 tablespoons of jaggery (gur) in ½ cup of warm water (optional for a mildly sweet variation) and pour it into the pan. Add 2½ cups of water and salt to taste. Bring to a gentle boil, then reduce the heat, cover, and simmer until the rice and dal are fully cooked, soft, and creamy. Finish with a drizzle of ghee before serving hot as a traditional Dhaka-style Rosh Khichuri.",330
1067,Rosh Khichuri (Hill Tracts),"To prepare Rosh Khichuri (Hill Tracts), start by washing 1 cup of rice and ½ cup of moong dal (split yellow lentils) thoroughly and soaking them for 15–20 minutes. Drain well. In a heavy-bottomed pan, heat 2 tablespoons of sesame oil or mustard oil, add 1 teaspoon cumin seeds, 2–3 chopped green chilies, and 1 teaspoon freshly crushed ginger, sautéing until aromatic. Add the drained rice and dal, stirring gently to coat with the oil and spices. Dissolve 2–3 tablespoons of jaggery (gur) in ½ cup of warm water and pour it into the pan. Add 2½ cups of water and salt to taste. Bring to a gentle boil, then reduce the heat, cover, and simmer until the rice and dal are fully cooked, soft, and creamy. Finish with a light drizzle of sesame oil before serving hot as a traditional Hill Tracts-style Rosh Khichuri.",330
1068,Rosh Khichuri (Mymensingh),"To prepare Rosh Khichuri (Mymensingh), begin by washing 1 cup of rice and ½ cup of moong dal thoroughly and soaking them for about 15–20 minutes. Heat 2 tablespoons of ghee or mustard oil in a heavy-bottomed pan, add 1 teaspoon of cumin seeds, 2–3 slit green chilies, and 1 teaspoon of ginger paste, sautéing until fragrant. Add the drained rice and dal, stirring gently to coat them with the oil and spices. Dissolve 2–3 tablespoons of jaggery (gur) in ½ cup of warm water and pour it into the pan, followed by 2½ cups of water and salt to taste. Bring to a gentle boil, then reduce the heat, cover, and simmer until the rice and dal are fully cooked, soft, and mildly sweet. Finish with a light drizzle of ghee before serving hot as a comforting Mymensingh-style Rosh Khichuri.",330
1069,Rosh Khichuri (Sylhet),"To prepare Rosh Khichuri (Sylhet), begin by washing 1 cup of fragrant rice and ½ cup of moong dal thoroughly and soaking them for about 15–20 minutes. Heat 2 tablespoons of mustard oil or ghee in a heavy-bottomed pan, add 1 teaspoon of cumin seeds, 2–3 slit green chilies, and 1 teaspoon of ginger paste, sautéing until aromatic. Add the drained rice and dal, stirring gently to coat with the oil and spices. Dissolve 2–3 tablespoons of jaggery (gur) in ½ cup of warm water and pour it into the pan, followed by 2½ cups of water and salt to taste. Bring to a gentle boil, then reduce the heat, cover, and simmer until the rice and dal are soft, creamy, and lightly sweet. Finish with a drizzle of ghee before serving hot as a comforting Sylheti-style Rosh Khichuri.",330
1070,Rosh Khichuri (Tribal),"To prepare Rosh Khichuri (Tribal), begin by washing 1 cup of local rice and ½ cup of moong dal thoroughly and soaking them for about 15 minutes. Heat 2 tablespoons of sesame oil or mustard oil in a heavy-bottomed pot, add 1 teaspoon of cumin seeds, 2–3 crushed green chilies, and 1 teaspoon of freshly crushed ginger, sautéing until fragrant. Add the drained rice and dal, stirring gently to coat them with the oil and spices. Dissolve 2–3 tablespoons of jaggery (gur) in ½ cup of warm water and pour it into the pot, followed by 2½ cups of water and salt to taste. Bring to a gentle boil, then reduce the heat, cover, and simmer until the rice and dal are fully cooked and the khichuri becomes soft, creamy, and mildly sweet. Finish with a light drizzle of sesame oil before serving hot as a comforting Tribal-style Rosh Khichuri.",335
1071,Rosh Korma (Chattogram),"To prepare Rosh Korma (Chattogram), start by cleaning and cutting 500 grams of mutton or beef into medium-sized pieces. Heat 3 tablespoons of mustard oil or ghee in a pan, add 1 finely sliced onion, and sauté until golden brown. Add 1 teaspoon of ginger paste and 1 teaspoon of garlic paste, cooking until aromatic. Reduce the heat and stir in ½ teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of coriander powder, ½ teaspoon of cumin powder, and salt to taste. Add the meat and bhuna well until the spices coat it evenly and the oil begins to separate. Pour in 1½ cups of coconut milk or lightly sweetened milk, a signature Chattogram-style touch, and simmer on low heat until the meat becomes tender and the gravy turns rich, creamy, and mildly sweet. Finish with ½ teaspoon of garam masala and a drizzle of ghee before serving hot as a fragrant Chattogram-style Rosh Korma.",395
1072,Rosh Korma (Hill Tracts),"To prepare Rosh Korma (Hill Tracts), begin by cleaning and cutting 500 grams of mutton or beef into medium-sized pieces. Heat 3 tablespoons of sesame oil or mustard oil in a heavy pan, add 1 finely sliced onion, and sauté until lightly golden. Add 1 teaspoon of crushed garlic and 1 teaspoon of ginger paste, cooking until aromatic. Reduce the heat and stir in ½ teaspoon of turmeric powder, 1 teaspoon of crushed dry red chili, 1 teaspoon of coriander powder, ½ teaspoon of cumin powder, and salt to taste. Add the meat and bhuna well until the spices coat it evenly and oil begins to separate. Pour in 1–1½ cups of coconut milk or lightly sweetened milk, a signature Hill Tracts variation, and simmer on low heat until the meat is tender and the gravy becomes rich, mildly sweet, and creamy. Finish with a drizzle of ghee or sesame oil and serve hot as a fragrant Hill Tracts-style Rosh Korma.",380
